,,,FIRST START BACK,,,,,,
YEAR,DIVISION,HORSE,CLS,ODDS,FAV,FIN,NOTE,,RACING CLASS KEY:
2004,Older Male,Ghostzapper,GRD,0.65,Y,1,,,
2005,Older Male,Saint Liam,RET,,,,,,
2006,Older Male,Invasor,GRD,0.40,Y,1,,,
2007,Older Male,Lawyer Ron,RET,,,,,,
2008,Older Male,Curlin,RET,,,,,,
2009,Older Male,Gio Ponti,STK,0.20,Y,2,,,
2010,Older Male,Blame,RET,,,,,,
2011,Older Male,Acclamation,GRD,1.00,Y,1,,,
2012,Older Male,Wise Dan,GRD,0.40,Y,1,,,
2013,Older Male,Wise Dan,GRD,0.40,Y,1,,,
2014,Older Male,Main Sequence,GRD,0.70,Y,1,,,
2015,Older Male,Honor Code,RET,,,,,,
2016,Older Male,California Chrome,GRD,1.20,N,9,,,
2017,Older Male,Gun Runner,GRD,1.10,Y,1,,,
2018,Older Male,Accelerate,GRD,,Y,3,,,
1979,Turf Female,Trillion,RET,,,,,,
1980,Turf Female,Just a Game,ALW,0.80,Y,3,,,
1981,Turf Female,De La Rose,STK,0.90,Y,2,,,
1982,Turf Female,April Run,RET,,,,,,
1983,Turf Female,All Along,GRD,1.80,N,4,,,
1984,Turf Female,Royal Heroine,RET,,,,,,
1985,Turf Female,Pebbles,RET,,,,,,
1986,Turf Female,Estrapade,RET,,,,,,
1987,Turf Female,Miesque,GRD,0.20,Y,1,,,
1988,Turf Female,Miesque,RET,,,,,,
1989,Turf Female,Brown Bess,GRD,1.30,Y,3,,,
1990,Turf Female,Laugh and Be Merry,RET,,,,,,
1991,Turf Female,Miss Alleged,GRD,1.30,Y,3,,,
1992,Turf Female,Flawlessly,GRD,0.90,N,1,,,
1993,Turf Female,Flawlessly,GRD,0.70,Y,3,,,
1994,Turf Female,Hatoof,RET,,,,,,
1995,Turf Female,Possibly Perfect,RET,,,,,,
1996,Turf Female,Wandesta,RET,,,,,,
1997,Turf Female,Ryafan,RET,,,,,,
1998,Turf Female,Fiji,GRD,2.00,Y,6,,,
1999,Turf Female,Soaring Softly,RET,,,,,,
2000,Turf Female,Perfect Sting,GRD,0.30,Y,1,,,
2001,Turf Female,Banks Hill,GRD,0.60,Y,3,,,
2002,Turf Female,Golden Apples,GRD,1.90,N,2,,,
2003,Turf Female,Islington,RET,,,,,,
2004,Turf Female,Ouija Board,GRD,3.50,N,7,,,
2005,Turf Female,Intercontinental,RET,,,,,,
2006,Turf Female,Ouija Board,RET,,,,,,
2007,Turf Female,Lahudood,RET,,,,,,
2008,Turf Female,Forever Together,GRD,1.00,Y,1,,,
2009,Turf Female,Goldikova,GRD,,,1,Returned at Longchamp,,
2010,Turf Female,Goldikova,GRD,,,1,Returned at Longchamp,,
2011,Turf Female,Stacelita,RET,,,,,,
2012,Turf Female,Zagora,RET,,,,,,
2013,Turf Female,Dank,GRD,,,3,Returned in Dubai,,
2014,Turf Female,Dayatthespa,RET,,,,,,
2015,Turf Female,Tepin,GRD,0.30,Y,1,,,
2016,Turf Female,Tepin,RET,,,,,,
2017,Turf Female,Lady Eli,RET,,,,,,
1971,Turf Male,Run the Gantlet,STK,1.60,Y,10,,,
1972,Turf Male,Cougar II,GRD,1.50,Y,1,,,
1973,Turf Male,Secretariat,RET,,,,,,
1974,Turf Male,Dahlia*,GRD,6.00,N,6,,,
1975,Turf Male,Snow Knight,RET,,,,,,
1976,Turf Male,Youth,RET,,,,,,
1977,Turf Male,Johnny D.,ALW,2.40,Y,9,,,
1978,Turf Male,Mac Diarmida,RET,,,,,,
1979,Turf Male,Bowl Game,ALW,1.10,Y,2,,,
1980,Turf Male,John Henry,GRD,0.50,Y,1,,,
1981,Turf Male,John Henry,GRD,1.30,Y,2,,,
1982,Turf Male,Perrault,RET,,,,,,
1983,Turf Male,John Henry,GRD,2.40,Y,5,,,
1984,Turf Male,John Henry,RET,,,,,,
1985,Turf Male,Cozzene,RET,,,,,,
1986,Turf Male,Manila,STK,0.40,Y,1,,,
1987,Turf Male,Theatrical,RET,,,,,,
1988,Turf Male,Sunshine Forever,GRD,1.30,Y,2,,,
1989,Turf Male,Steinlen,GRD,1.20,Y,7,,,
1990,Turf Male,Itsallgreektome,GRD,0.90,Y,4,,,
1991,Turf Male,Tight Spot,ALW,0.60,Y,1,,,
1992,Turf Male,Sky Classic,RET,,,,,,
1993,Turf Male,Kotashaan,RET,,,,,,
1994,Turf Male,Paradise Creek,RET,,,,,,
1995,Turf Male,Northern Spur,GRD,1.00,Y,4,,,
1996,Turf Male,Singspiel,STK,,,1,Returned in Dubai World Cup,,
1997,Turf Male,Chief Bearhart,GRD,0.70,Y,2,,,
1998,Turf Male,Buck's Boy,ALW,0.35,Y,1,,,
1999,Turf Male,Daylami,RET,,,,,,
2000,Turf Male,Kalanisi,GRD,1.75,Y,3,,,
2001,Turf Male,Fantastic Light,RET,,,,,,
2002,Turf Male,High Chaparral,GRD,0.90,Y,1,,,
2003,Turf Male,High Chaparral,RET,,,,,,
2004,Turf Male,Kitten's Joy,GRD,0.60,Y,1,,,
2005,Turf Male,Leroidesanimaux,RET,,,,,,
2006,Turf Male,Miesque's Approval,GRD,0.80,Y,5,,,
2007,Turf Male,English Channel,RET,,,,,,
2008,Turf Male,Conduit,GRD,2.75,N,2,,,
2009,Turf Male,Gio Ponti,STK,0.20,Y,2,,,
2010,Turf Male,Gio Ponti,GRD,,,5,Returned in Dubai World Cup,,
2011,Turf Male,Cape Blanco,RET,,,,,,
2012,Turf Male,Wise Dan,GRD,0.40,Y,1,,,
2013,Turf Male,Wise Dan,GRD,0.40,Y,1,,,
2014,Turf Male,Main Sequence,GRD,0.70,Y,1,,,
2015,Turf Male,Big Blue Kitten,GRD,2.30,Y,5,,,
2016,Turf Male,Flintshire,RET,,,,,,
2017,Turf Male,World Approval,GRD,0.20,Y,1,,,
