HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Great Dane,Awesome Again,Canary Diamond,Alphabet Soup,KY,Bob Baffert,Michael Lund Petersen,Adena Springs
Greenpointcrusader,Bernardini,Ava Knowsthecode,Cryptoclearance,KY,Dominick Schettino,"St. Elias Stable, MeB Racing Stables LLC and Brooklyn Boyz Stables",Oakbrook Farm
Gulf of Mexico,Bernardini,Spice Island,Tabasco Cat,KY,Chad Brown,Woodford Racing LLC,Hunter Valley
Gun Runner,Candy Ride (ARG),Quiet Giant,Giant's Causeway,KY,Steven Asmussen,Winchell Thoroughbreds LLC and Three Chimneys Farm,Besilu Stables LLC
Gwynn Oak Park,Candy Ride (ARG),Maxine's Hymn,Seeking the Gold,KY,Michael Trombetta,"Meyerhoff, Harry C. and Tom O.",W. S. Farish & E. J. Hudson Jr. Irrevocable Trust
Hammers Vision,Court Vision,Baytree,Forestry,ON,Brian Lynch,Terry Hamilton,Donver Stable
Hand of Power,Candy Ride (ARG),Hand Crafted,Mineshaft,KY,Ian Wilkes,"Lothenbach Stables, Inc.",W. S. Farish 
Happy Match,Tiznow,Sumptuous,Hennessy,KY,Dale Romans,West Point Thoroughbreds,Stonestreet Thoroughbred Holdings LLC
Hard Hitter,Flatter,Shawl,Medallist,KY,Linda Rice,Whitehall Stable,Mr. & Mrs. Leverett S. Miller
Hard Study,Big Brown,Hard Call,Rock Hard Ten,KY,Todd Pletcher,"Paul S. Pompa, Jr.",Paul Pompa Jr.
Hardly Home,Hard Spun,Home Rule,Empire Maker,KY,Claude McGaughey III,"Stuart S. Janney, III",Stuart S. Janney III LLC
Harlan Punch,Harlan's Holiday,Indy Punch,Pulling Punches,KY,Thomas Amoss,Rosemont Farm LLC,Rosemont Farm LLC
Hatter,Medaglia d'Oro,Little Bonnet,Coronado's Quest,KY,Thomas Albertrani,Godolphin Racing LLC,Darley
Hawk,Fusaichi Pegasus,Flask,Maria's Mon,KY,Richard Mandella,"Stone Farm and Sutton, Joseph W.",Stone Farm & Joseph W. Sutton
Henry the King,Henrythenavigator,Society Gal,Linkage,KY,Gregory Sacco,"Rising Sun Racing Stables, Inc.",Kim Nardelli & Rodney Nardelli
Highly Prized (GB),Manduro (GER),Razzle,Danzig,GB,Niall Saville,Signal Hill Farms,Juddmonte Farms LTD
Hint of Roses,Tapit,Last Kitten,Catienus,KY,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Kenneth L. Ramsey & Sarah K. Ramsey
Hit It a Bomb,War Front,Liscanna (IRE),Sadler's Wells,KY,Aidan O'Brien,Mrs. Evelyn M. Stockwell,Mrs. E. Stockwell
Hoffenheim,Midnight Lute,Circumstance,Vindication,KY,Bob Baffert,"Kaleem Shah, Inc.",Gaines-Gentry Thoroughbreds
