Horse,Color / Sex / Age,Trainer,Owner
MITOLE,b.c.3,Steven M. Asmussen,L. William and Corinne Heiligbrodt Steven
MO ZONE,b.c.3,Eddie Kenneally,Marc Detampel E
MOJOVATION,b.c.3,Todd A. Pletcher,"Zayat Stables, LLC To"
MONKEYSEEMONKEYDO,dk b/.c.3,Chad C. Brown,William H. Lawrence
MONTAUK,b.c.3,Todd A. Pletcher,"LaPenta, Eclipse Thoroughbred Partners, Twin Creeks Racing Stables, LLC, et al"
MORNING HUNT,dk b/.c.3,Mark E. Casse,"Westbury Stables, LLC"
MOST AMUSING,b.c.3,Bob Baffert,"Juddmonte Farms, Inc."
MOURINHO,b.c.3,Bob Baffert,Phoenix Thoroughbred III
MR. PRESIDENT,gr/ro.c.3,Michael J. Maker,Skychai Racing LLC and David Koenig
MT. RUSHMORE,b.c.3,D. Wayne Lukas,Robert C. Baker and William L. Mack D.
MUFASA,b.c.3,Todd A. Pletcher,Eclipse Thoroughbred Partners To
MURILLO,b.c.3,Aidan P. O'Brien,"Mr. Michael Tabor, Mr. Derrick Smith and Mrs. John Magnier "
MY BOY JACK,dk b/.c.3,J. Keith Desormeaux,"Don't Tell My Wife Stables and Monomoy Stables, LLC J. "
MY DREAM,b.c.3,"Claude R. McGaughey, III",Phipps Stable Claude R.
MYLUCKYCHARM,gr/ro.c.3,Michael A. Tomlinson,Erv Woolsey and Ralph Kinder Michae
NATIONAL FLAG,ch.c.3,Todd A. Pletcher,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LLC T"
NAVISTAR,b.c.3,Todd A. Pletcher,Robert V. LaPenta To
NAVY ARMED GUARD,b.g.3,Joan S. Scott,"Harriette Waldron, Roger D. McDaniel and Robert K. Johnson"
NERO,b.c.3,Bob Baffert,"Stonestreet Stables, LLC , Mrs. John Magnier, Michael Tabor and Derrick Smith"
NEW COLOSSUS,b.c.3,J. Larry Jones,"Fox Hill Farms, Inc."
NEW YORK CENTRAL,gr/ro.c.3,Steven M. Asmussen,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LLC "
NOBLE INDY,b.c.3,Todd A. Pletcher,WinStar Farm LLC and Repole Stable 
NOLA WIN,ch.c.3,Dallas Stewart,Lori Gervais
NUMERO THIRTEEN,b.c.3,Chad Summers,"J Stables LLC and Monomoy Stables, LLC "
OLD TIME REVIVAL,dk b/.c.3,Kenneth Decker,"Jacks or Better Farm, Inc. "
OLDFASHIONED CLUB,gr/ro.c.3,Jamie Ness,Gumpster Stable and Jagger Inc
ONE MORE TOM,b.g.3,Dallas Stewart,G M B Racing
ONE THIRTY NINE,gr/ro.c.3,Kenneth G. McPeek,Stephen R. Baker 
ORBED,b.c.3,James A. Jerkens,Constantine Peter Beler 
ORBIT RAIN,ch.r.3,Mick Ruis,"Ruis Racing, LLC"
ORIGINAL INTENT,gr/ro.c.3,Jerry Hollendorfer,"West Point Thoroughbreds, LLC "
